Date,Particulars,Voucher No.,GSTIN/UIN,Gross Total,Sales Taxable@5%,Output CGST@2.5%,Output SGST@2.5%,Sales Taxable @12%,Output CGST @6%,Output SGST @ 6%,Sales Interstate Taxable @12%,Output IGST @12%,ROUND OFF,Other Charges,Sales Interstate Taxable@5%,Output IGST @5%,Grand Total
2024-10-02,Tiny Baby,175/24-25,27BABPS1183E1ZT,6704,6384.00 Cr,160.00 Cr,160.00 Cr,,,,,,,,,,
2024-10-02,Navyug Selection,176/24-25,24ARQPG6894D1ZG,8718,,,,,,,7605.00 Cr,913.00 Cr,,200.00 Cr,,,
2024-10-03,Suvidha,177/24-25,27ABCFS5847C1Z5,6881,,,,6142.00 Cr,369.00 Cr,369.00 Cr,,,1.00 Cr,,,,
2024-10-03,Mysore Emporium,178/24-25,29AADFM5917D1ZB,33414,,,,,,,23817.00 Cr,2858.00 Cr,,,6418.00 Cr,321.00 Cr,
2024-10-03,Royal Collection,179/24-25,29DBKPS7583A1Z4,34260,,,,,,,26050.00 Cr,3126.00 Cr,,,4842.00 Cr,242.00 Cr,
2024-10-03,Baby's World,180/24-25,24ANCPN9399J1ZC,36098,,,,,,,32230.00 Cr,3868.00 Cr,,,,,
2024-10-03,Dresswala Collection-Rajkot,181/24-25,24ADCPA4778J1ZL,9946,,,,,,,8880.00 Cr,1066.00 Cr,,,,,
2024-10-03,Blossom,182/24-25,27AQRPS2494R1ZI,9448,,,,8436.00 Cr,506.00 Cr,506.00 Cr,,,,,,,
2024-10-03,Poonam,183/24-25,27AAPFC2036H2ZG,8260,7866.00 Cr,197.00 Cr,197.00 Cr,,,,,,,,,,
2024-10-03,Janta Bazar-Nallasopara,184/24-25,27AAGFJ8219C1ZG,10524,,,,9395.00 Cr,564.00 Cr,564.00 Cr,,,1.00 Cr,,,,
2024-10-03,Shivam Fashion,185/24-25,24AQFPG7059Q1ZB,31506,,,,,,,28130.00 Cr,3376.00 Cr,,,,,
2024-10-04,Kalapi Nx,186/24-25,27AASFK2634G1Z4,9448,,,,8436.00 Cr,506.00 Cr,506.00 Cr,,,,,,,
2024-10-04,Stop N Shop,187/24-25,27AOFPS2660M1ZG,9314,8870.00 Cr,222.00 Cr,222.00 Cr,,,,,,,,,,
2024-10-04,Pallav-Jamnagar,188/24-25,24AAOFP3575D1Z5,13948,,,,,,,,,,,13284.00 Cr,664.00 Cr,
2024-10-04,Tini Mini Baby Mall,189/24-25,24AAMFT5240R1ZK,6452,,,,,,,,,,,6145.00 Cr,307.00 Cr,
2024-10-04,Baby Zone,190/24-25,24AAOFB5388G1Z6,26102,,,,,,,23305.00 Cr,2797.00 Cr,,,,,
2024-10-04,Baby's World,191/24-25,24ANCPN9399J1ZC,15686,,,,,,,14005.00 Cr,1681.00 Cr,,,,,
2024-10-04,Blossom,192/24-25,27AQRPS2494R1ZI,16375,,,,14620.00 Cr,877.00 Cr,877.00 Cr,,,1.00 Cr,,,,
2024-10-04,Janta Bazar-Vasai,193/24-25,27AAGFJ8219C1ZG,4555,4338.00 Cr,108.00 Cr,108.00 Cr,,,,,,1.00 Cr,,,,
2024-10-04,Janta Bazar-Nallasopara,194/24-25,27AAGFJ8219C1ZG,3486,3320.00 Cr,83.00 Cr,83.00 Cr,,,,,,,,,,
2024-10-04,Kalapi Nx,195/24-25,27AASFK2634G1Z4,17124,16307.00 Cr,408.00 Cr,408.00 Cr,,,,,,1.00 Cr,,,,
2024-10-05,Honesty Stores,196/24-25,27ABIPS0106J1ZP,5437,,,,4855.00 Cr,291.00 Cr,291.00 Cr,,,,,,,
2024-10-05,Carron Clothing Pvt Ltd,197/24-25,27AABCC2448L1ZK,27762,4920.00 Cr,123.00 Cr,123.00 Cr,20174.00 Cr,1211.00 Cr,1211.00 Cr,,,,,,,
2024-10-05,Poonam,198/24-25,27AAPFC2036H2ZG,669,636.00 Cr,16.00 Cr,16.00 Cr,,,,,,1.00 Cr,,,,
2024-10-05,Honesty Stores,199/24-25,27ABIPS0106J1ZP,9730,1000.00 Cr,25.00 Cr,25.00 Cr,7749.00 Cr,465.00 Cr,465.00 Cr,,,1.00 Cr,,,,
2024-10-07,Janta Bazar-Vasai,200/24-25,27AAGFJ8219C1ZG,6603,6289.00 Cr,157.00 Cr,157.00 Cr,,,,,,,,,,
2024-10-07,Apple Kids,201/24-25,27AUIPS6693M1ZK,7601,7239.00 Cr,181.00 Cr,181.00 Cr,,,,,,,,,,
2024-10-07,Kaccha Limboo,202/24-25,27RAXPS9827K1ZZ,7601,7239.00 Cr,181.00 Cr,181.00 Cr,,,,,,,,,,
2024-10-07,Blossom,203/24-25,27AQRPS2494R1ZI,12514,11917.00 Cr,298.00 Cr,298.00 Cr,,,,,,1.00 Cr,,,,
2024-10-08,My Choice-Banglore,204/24-25,29AEUPC3131Q1ZY,8001,,,,,,,,,,,7620.00 Cr,381.00 Cr,
2024-10-08,Sweety Clothing LLP,205/24-25,27AFGFS7469J1Z8,19312,11360.00 Cr,284.00 Cr,284.00 Cr,6592.00 Cr,396.00 Cr,396.00 Cr,,,,,,,
2024-10-08,Puzzle,206/24-25,27AHIPD1472E1ZO,10102,4170.00 Cr,104.00 Cr,104.00 Cr,5110.00 Cr,307.00 Cr,307.00 Cr,,,,,,,
2024-10-08,Baby Zone,207/24-25,24AAOFB5388G1Z6,12858,,,,,,,11480.00 Cr,1378.00 Cr,,,,,
2024-10-08,Tiny Baby,208/24-25,27BABPS1183E1ZT,6998,6664.00 Cr,167.00 Cr,167.00 Cr,,,,,,,,,,
2024-10-09,Tiny Baby,209/24-25,27BABPS1183E1ZT,11699,,,,10445.00 Cr,627.00 Cr,627.00 Cr,,,,,,,
2024-10-10,Harivar,210/24-25,24AADHT8500M1ZY,37412,,,,,,,26260.00 Cr,3151.00 Cr,,,7620.00 Cr,381.00 Cr,
2024-10-10,Patel Selection,211/24-25,24ARWPK9302J1ZC,8001,,,,,,,,,,,7620.00 Cr,381.00 Cr,
2024-10-10,Chamunda Dresses,212/24-25,24AXAPT5346F1ZI,16002,,,,,,,,,,,15240.00 Cr,762.00 Cr,
2024-10-10,Dresswala Nx,213/24-25,24AXFPA6567N1Z6,14336,,,,,,,12800.00 Cr,1536.00 Cr,,,,,
2024-10-10,Bharat Hosiery Mart,214/24-25,24AACFB0421E1ZE,9933,,,,,,,,,,,9460.00 Cr,473.00 Cr,
2024-10-10,Laksh,215/24-25,27AQSPS1074N1ZZ,3234,3080.00 Cr,77.00 Cr,77.00 Cr,,,,,,,,,,
2024-10-10,Carron Clothing Pvt Ltd,216/24-25,27AABCC2448L1ZK,7057,6721.00 Cr,168.00 Cr,168.00 Cr,,,,,,,,,,
2024-10-11,Royal Collection,218/24-25,29DBKPS7583A1Z4,14476,,,,,,,,,,,13787.00 Cr,689.00 Cr,
2024-10-11,Vaishali,217/24-25,24AHPPS1122B1ZR,5987,,,,,,,,,,,5702.00 Cr,285.00 Cr,
2024-10-14,Green Bell,219/24-25,24AAVFG2881N1ZN,12028,,,,,,,,,,,11455.00 Cr,573.00 Cr,
2024-10-14,MAYUR KIDS (JUNAGADH),220/24-25,24ADQPL4979A1ZC,10418,,,,,,,,,,,9922.00 Cr,496.00 Cr,
2024-10-14,Namskar Redymadl-Veraval,221/24-25,24AAVPT2680G1Z7,39388,,,,,,,19770.00 Cr,2372.00 Cr,,,16425.00 Cr,821.00 Cr,
2024-10-14,Chamumda Garments,222/24-25,24AAFFC4194G1ZK,7061,,,,,,,,,,,6725.00 Cr,336.00 Cr,
2024-10-14,Navyug Selection,223/24-25,24ARQPG6894D1ZG,8904,,,,,,,7950.00 Cr,954.00 Cr,,,,,
2024-10-14,Maitrik Fashion Pvt Ltd,224/24-25,27AANCM1610N1Z8,41848,12840.00 Cr,321.00 Cr,321.00 Cr,25326.00 Cr,1520.00 Cr,1520.00 Cr,,,,,,,
2024-10-14,Riyansh Fashion Pin-A-Kin,225/24-25,27AANCR2517B1ZK,37236,11760.00 Cr,294.00 Cr,294.00 Cr,22220.00 Cr,1334.00 Cr,1334.00 Cr,,,,,,,
2024-10-14,Maitrik Fashion Pvt Ltd,226/24-25,27AANCM1610N1Z8,10344,9851.00 Cr,246.00 Cr,246.00 Cr,,,,,,1.00 Cr,,,,
2024-10-14,Namaskar-Jamnager,227/24-25,24ABVPG5320M1ZE,8505,,,,,,,,,,,8100.00 Cr,405.00 Cr,
2024-10-15,Carron Clothing Pvt Ltd,228/24-25,27AABCC2448L1ZK,12209,973.75 Cr,24.00 Cr,24.00 Cr,9989.25 Cr,599.00 Cr,599.00 Cr,,,,,,,
2024-10-15,Poonam,229/24-25,27AAPFC2036H2ZG,12162,5640.00 Cr,141.00 Cr,141.00 Cr,5570.00 Cr,335.00 Cr,335.00 Cr,,,,,,,
2024-10-15,The Jhalak Kalapi Group,230/24-25,24AARFJ4428N1ZT,13284,,,,,,,11860.00 Cr,1424.00 Cr,,,,,
2024-10-15,Angel,231/24-25,24AKFPT5168F1ZZ,12947,,,,,,,7950.00 Cr,954.00 Cr,,,3850.00 Cr,193.00 Cr,
2024-10-15,Harivar,232/24-25,24AADHT8500M1ZY,34231,,,,,,,26260.00 Cr,3151.00 Cr,,,4590.00 Cr,230.00 Cr,
2024-10-15,Carron Clothing Pvt Ltd,233/24-25,27AABCC2448L1ZK,4854,4622.00 Cr,116.00 Cr,116.00 Cr,,,,,,,,,,
2024-10-15,Fantasy Collections,234/24-25,27AAOPP0155D1ZS,10977,1975.00 Cr,49.00 Cr,49.00 Cr,7950.00 Cr,477.00 Cr,477.00 Cr,,,,,,,
2024-10-15,Honey Bunny New Born and Kids Wear,235/24-25,27AHEPP8675M1ZG,14321,13639.00 Cr,341.00 Cr,341.00 Cr,,,,,,,,,,
2024-10-15,POPO-Dombivali,236/24-25,27AVAPP7352D1ZM,6142,5850.00 Cr,146.00 Cr,146.00 Cr,,,,,,,,,,
2024-10-15,Blossom,237/24-25,27AQRPS2494R1ZI,2682,2553.00 Cr,64.00 Cr,64.00 Cr,,,,,,1.00 Cr,,,,
2024-10-15,Tiny Baby,238/24-25,27BABPS1183E1ZT,3644,,,,3253.00 Cr,195.00 Cr,195.00 Cr,,,1.00 Cr,,,,
2024-10-16,Honesty Stores,239/24-25,27ABIPS0106J1ZP,14021,8680.00 Cr,217.00 Cr,217.00 Cr,4382.00 Cr,262.50 Cr,262.50 Cr,,,,,,,
2024-10-16,Trios,240/24-25,27AACFT4028M1ZY,11410,7448.00 Cr,186.00 Cr,186.00 Cr,3206.00 Cr,192.00 Cr,192.00 Cr,,,,,,,
2024-10-16,Airavath Creations,241/24-25,29AZDPB5508L1ZA,13978,,,,,,,12480.00 Cr,1498.00 Cr,,,,,
2024-10-16,Suvidha,242/24-25,27ABCFS5847C1Z5,1145,,,,1023.00 Cr,61.00 Cr,61.00 Cr,,,,,,,
2024-10-16,Jai Jalaram Hosiery,243/24-25,,34332,,,,,,,21030.00 Cr,2524.00 Cr,,,10265.00 Cr,513.00 Cr,
2024-10-16,Pallav-Jamnagar,244/24-25,24AAOFP3575D1Z5,11975,,,,,,,7950.00 Cr,954.00 Cr,,,2925.00 Cr,146.00 Cr,
2024-10-16,Puzzle,245/24-25,27AHIPD1472E1ZO,6831,6505.00 Cr,163.00 Cr,163.00 Cr,,,,,,,,,,
2024-10-16,Penguin Kids & Ladies,246/24-25,27ADJPT1360L1Z5,13198,10360.00 Cr,259.00 Cr,259.00 Cr,2070.00 Cr,125.00 Cr,125.00 Cr,,,,,,,
2024-10-17,Sri Balaj Trends,247/24-25,29BTZPK8286M1Z7,33199,,,,,,,14140.00 Cr,1697.00 Cr,,,16535.00 Cr,827.00 Cr,
2024-10-17,Carron Clothing Pvt Ltd,248/24-25,27AABCC2448L1ZK,20067,,,,17917.00 Cr,1075.00 Cr,1075.00 Cr,,,,,,,
2024-10-17,Next Turn,249/24-25,24CEXPM5282B1Z8,18222,,,,,,,11010.00 Cr,1321.00 Cr,,,5610.00 Cr,281.00 Cr,
2024-10-17,Harivar,250/24-25,24AADHT8500M1ZY,10962,,,,,,,,,,,10440.00 Cr,522.00 Cr,
2024-10-18,Shopper Plaza,251/24-25,03ABAFS1288D1ZK,30201,,,,,,,26965.00 Cr,3236.00 Cr,,,,,
2024-10-18,Guru Nanak Garments-Punjab,252/24-25,03AEWPM6690L1ZO,25010,,,,,,,22330.00 Cr,2680.00 Cr,,,,,
2024-10-18,Spice,253/24-25,27AHPPJ7298H1ZL,32021,4400.00 Cr,110.00 Cr,110.00 Cr,24465.00 Cr,1468.00 Cr,1468.00 Cr,,,,,,,
2024-10-18,Merry King Garments,254/24-25,03AAOFM9067D1Z5,15141,,,,,,,13519.00 Cr,1622.00 Cr,,,,,
2024-10-18,Harbans Singh & Sons,255/24-25,03BAFPS4129C2Z2,13200,,,,,,,11250.00 Cr,1350.00 Cr,,600.00 Cr,,,
2024-10-18,Blossom,256/24-25,27AQRPS2494R1ZI,6368,,,,5685.00 Cr,341.00 Cr,341.00 Cr,,,1.00 Cr,,,,
2024-10-18,Honesty Stores,257/24-25,27ABIPS0106J1ZP,7858,,,,7015.00 Cr,421.00 Cr,421.00 Cr,,,1.00 Cr,,,,
2024-10-18,Stop N Shop,258/24-25,27AOFPS2660M1ZG,13557,,,,12105.00 Cr,726.00 Cr,726.00 Cr,,,,,,,
2024-10-18,Apple Kids,259/24-25,27AUIPS6693M1ZK,9237,8797.00 Cr,220.00 Cr,220.00 Cr,,,,,,,,,,
2024-10-19,Carron Clothing Pvt Ltd,260/24-25,27AABCC2448L1ZK,4268,,,,3810.00 Cr,229.00 Cr,229.00 Cr,,,,,,,
2024-10-19,Pawan Fashion,261/24-25,03AKXPA9671J1ZN,37010,,,,,,,33045.00 Cr,3965.00 Cr,,,,,
2024-10-19,Baby's World,262/24-25,24ANCPN9399J1ZC,25149,,,,,,,18845.00 Cr,2261.00 Cr,,,3850.00 Cr,193.00 Cr,
2024-10-19,Poshak-Rajkot,263/24-25,24AAGFP1352E1ZO,13319,,,,,,,9150.00 Cr,1098.00 Cr,,,2925.00 Cr,146.00 Cr,
2024-10-19,Mysore Emporium,264/24-25,29AADFM5917D1ZB,30201,,,,,,,23290.00 Cr,2795.00 Cr,,,3920.00 Cr,196.00 Cr,
2024-10-19,Stop N Shop Plus,265/24-25,27BMKPS5659C1ZM,26442,3840.00 Cr,96.00 Cr,96.00 Cr,20010.00 Cr,1200.00 Cr,1200.00 Cr,,,,,,,
2024-10-19,Stop N Shop Plus,266/24-25,27BMKPS5659C1ZM,31016,12880.00 Cr,322.00 Cr,322.00 Cr,15620.00 Cr,936.00 Cr,936.00 Cr,,,,,,,
2024-10-20,Tiny Baby,267/24-25,27BABPS1183E1ZT,18762,1920.00 Cr,48.00 Cr,48.00 Cr,14952.00 Cr,897.00 Cr,897.00 Cr,,,,,,,
2024-10-21,Satyam Kids Wear-Durg,268/24-25,22ACYFS7221F1ZX,44859,,,,,,,35350.00 Cr,4242.00 Cr,,,5016.00 Cr,251.00 Cr,
2024-10-21,MAYUR KIDS (JUNAGADH),269/24-25,24ADQPL4979A1ZC,64460,,,,,,,,,,,61390.00 Cr,3070.00 Cr,
2024-10-21,Carron Clothing Pvt Ltd,270/24-25,27AABCC2448L1ZK,4383,4175.00 Cr,104.00 Cr,104.00 Cr,,,,,,,,,,
2024-10-21,Sheetal Kids Wear,271/24-25,27AACPW1100F1Z6,5890,5610.00 Cr,140.00 Cr,140.00 Cr,,,,,,,,,,
2024-10-21,Maitrik Fashion Pvt Ltd,272/24-25,27AANCM1610N1Z8,19606,9500.00 Cr,238.00 Cr,238.00 Cr,8598.00 Cr,516.00 Cr,516.00 Cr,,,,,,,
2024-10-21,Riyansh Fashion Pin-A-Kin,273/24-25,27AANCR2517B1ZK,57864,5850.00 Cr,146.00 Cr,146.00 Cr,46180.00 Cr,2771.00 Cr,2771.00 Cr,,,,,,,
2024-10-21,Maitrik Fashion Pvt Ltd,274/24-25,27AANCM1610N1Z8,50413,9520.00 Cr,238.00 Cr,238.00 Cr,36084.00 Cr,2166.00 Cr,2166.00 Cr,,,1.00 Cr,,,,
2024-10-21,Pummy Fashion,275/24-25,24AACFP5050H1ZJ,11620,,,,,,,10375.00 Cr,1245.00 Cr,,,,,
2024-10-21,Pummy Kids,276/24-25,24AAIFP6574C1Z8,19869,,,,,,,17740.00 Cr,2129.00 Cr,,,,,
2024-10-21,Blossom,277/24-25,27AQRPS2494R1ZI,20122,6520.00 Cr,163.00 Cr,163.00 Cr,11852.00 Cr,712.00 Cr,712.00 Cr,,,,,,,
2024-10-21,Honesty Stores,278/24-25,27ABIPS0106J1ZP,54973,8600.00 Cr,215.00 Cr,215.00 Cr,41018.00 Cr,2462.00 Cr,2462.00 Cr,,,1.00 Cr,,,,
2024-10-21,Janta Bazar-Vasai,279/24-25,27AAGFJ8219C1ZG,21157,,,,18890.00 Cr,1133.00 Cr,1133.00 Cr,,,1.00 Cr,,,,
2024-10-21,Spice,280/24-25,27AHPPJ7298H1ZL,18055,4400.00 Cr,110.00 Cr,110.00 Cr,11995.00 Cr,720.00 Cr,720.00 Cr,,,,,,,
2024-10-22,Dresswala Nx,281/24-25,24AXFPA6567N1Z6,12880,,,,,,,11500.00 Cr,1380.00 Cr,,,,,
2024-10-22,Namskar Redymadl-Veraval,282/24-25,24AAVPT2680G1Z7,22607,,,,,,,20185.00 Cr,2422.00 Cr,,,,,
2024-10-22,Angel,283/24-25,24AKFPT5168F1ZZ,18032,,,,,,,16100.00 Cr,1932.00 Cr,,,,,
2024-10-22,Vaishali,284/24-25,24AHPPS1122B1ZR,10102,,,,,,,9020.00 Cr,1082.00 Cr,,,,,
2024-10-22,Kalapi Nx,285/24-25,27AASFK2634G1Z4,43318,1947.50 Cr,49.00 Cr,49.00 Cr,36850.50 Cr,2211.00 Cr,2211.00 Cr,,,,,,,
2024-10-22,Stop N Shop,286/24-25,27AOFPS2660M1ZG,43844,1960.00 Cr,49.00 Cr,49.00 Cr,37310.00 Cr,2238.00 Cr,2238.00 Cr,,,,,,,
2024-10-22,New Clothes Club,287/24-25,24AAQFN0597D1Z5,34879,,,,,,,27415.00 Cr,3290.00 Cr,,,3975.00 Cr,199.00 Cr,
2024-10-22,Janta Bazar-Nallasopara,288/24-25,27AAGFJ8219C1ZG,18817,,,,16801.00 Cr,1008.00 Cr,1008.00 Cr,,,,,,,
2024-10-22,Sweety Clothing LLP,289/24-25,27AFGFS7469J1Z8,8826,,,,7880.00 Cr,473.00 Cr,473.00 Cr,,,,,,,
2024-10-22,Puzzle,290/24-25,27AHIPD1472E1ZO,22495,,,,20085.00 Cr,1205.00 Cr,1205.00 Cr,,,,,,,
2024-10-22,Apple Kids,291/24-25,27AUIPS6693M1ZK,17131,,,,15295.00 Cr,918.00 Cr,918.00 Cr,,,,,,,
2024-10-23,Suvidha,292/24-25,27ABCFS5847C1Z5,4895,,,,4371.00 Cr,262.00 Cr,262.00 Cr,,,,,,,
2024-10-23,Baby Zone,293/24-25,24AAOFB5388G1Z6,38379,,,,,,,31525.00 Cr,3783.00 Cr,,,2925.00 Cr,146.00 Cr,
2024-10-23,Jay Jalaram Family Mall,294/24-25,24AARFJ9924F1ZZ,10472,,,,,,,9350.00 Cr,1122.00 Cr,,,,,
2024-10-23,Chamumda Garments,295/24-25,24AAFFC4194G1ZK,6933,,,,,,,6190.00 Cr,743.00 Cr,,,,,
2024-10-23,Pallav-Jamnagar,296/24-25,24AAOFP3575D1Z5,24304,,,,,,,21700.00 Cr,2604.00 Cr,,,,,
2024-10-23,K.P.Junction,297/24-25,24AAKFK0304M1ZI,17567,,,,,,,15685.00 Cr,1882.00 Cr,,,,,
2024-10-23,Kaccha Limboo,298/24-25,27RAXPS9827K1ZZ,17131,,,,15295.00 Cr,918.00 Cr,918.00 Cr,,,,,,,
2024-10-23,Honey Bunny New Born and Kids Wear,299/24-25,27AHEPP8675M1ZG,20642,,,,18430.00 Cr,1106.00 Cr,1106.00 Cr,,,,,,,
2024-10-23,Laksh,300/24-25,27AQSPS1074N1ZZ,12062,,,,10770.00 Cr,646.00 Cr,646.00 Cr,,,,,,,
2024-10-23,Tiny Baby,301/24-25,27BABPS1183E1ZT,21955,1960.00 Cr,49.00 Cr,49.00 Cr,17766.00 Cr,1065.50 Cr,1065.50 Cr,,,,,,,
2024-10-23,Janta Bazar-Nallasopara,302/24-25,27AAGFJ8219C1ZG,4630,4410.00 Cr,110.00 Cr,110.00 Cr,,,,,,,,,,
2024-10-23,Suvidha,303/24-25,27ABCFS5847C1Z5,14045,,,,12541.00 Cr,752.00 Cr,752.00 Cr,,,,,,,
2024-10-23,Honesty Stores,304/24-25,27ABIPS0106J1ZP,1309,,,,1168.00 Cr,70.00 Cr,70.00 Cr,,,1.00 Cr,,,,
2024-10-24,Riyansh Fashion Pin-A-Kin,305/24-25,27AANCR2517B1ZK,70802,45453.00 Cr,1136.00 Cr,1136.00 Cr,20606.00 Cr,1236.00 Cr,1236.00 Cr,,,1.00 Dr,,,,
2024-10-24,Maitrik Fashion Pvt Ltd,306/24-25,27AANCM1610N1Z8,72841,49440.00 Cr,1236.00 Cr,1236.00 Cr,18684.00 Cr,1122.00 Cr,1122.00 Cr,,,1.00 Cr,,,,
2024-10-24,Blossom,307/24-25,27AQRPS2494R1ZI,20814,19821.00 Cr,496.00 Cr,496.00 Cr,,,,,,1.00 Cr,,,,
2024-10-25,Tiny Baby,308/24-25,27BABPS1183E1ZT,23962,,,,21394.00 Cr,1284.00 Cr,1284.00 Cr,,,,,,,
2024-10-25,Namskar Redymadl-Veraval,309/24-25,24AAVPT2680G1Z7,8970,,,,,,,7875.00 Cr,945.00 Cr,,150.00 Cr,,,
2024-10-25,59 Colours,310/24-25,03CKQPS9924M1Z8,1366,,,,,,,1175.00 Cr,141.00 Cr,,50.00 Cr,,,
2024-10-25,Pummy Kids,311/24-25,24AAIFP6574C1Z8,1100,,,,,,,,,,50.00 Cr,1000.00 Cr,50.00 Cr,
2024-10-25,Riyansh Fashion Pin-A-Kin,312/24-25,27AANCR2517B1ZK,803,765.00 Cr,19.00 Cr,19.00 Cr,,,,,,,,,,
2024-10-25,Carron Clothing Pvt Ltd,313/24-25,27AABCC2448L1ZK,16327,1971.00 Cr,49.00 Cr,49.00 Cr,12730.00 Cr,764.00 Cr,764.00 Cr,,,,,,,
2024-10-25,Riyansh Fashion Pin-A-Kin,314/24-25,27AANCR2517B1ZK,100603,33274.00 Cr,832.00 Cr,832.00 Cr,58629.00 Cr,3518.00 Cr,3518.00 Cr,,,,,,,
