Date,Particulars,Voucher No.,GSTIN/UIN,Gross Total,Sales Taxable@5%,Output CGST@2.5%,Output SGST@2.5%,Sales Taxable @12%,Output CGST @6%,Output SGST @ 6%,Sales Interstate Taxable @12%,Output IGST @12%,ROUND OFF,Other Charges,Sales Interstate Taxable@5%,Output IGST @5%,Grand Total
2024-11-16,Stop N Shop,396/24-25,27AOFPS2660M1ZG,17097,,,,15265.00 Cr,916.00 Cr,916.00 Cr,,,,,,,
2024-11-16,Navyug Selection,395/24-25,24ARQPG6894D1ZG,47471,,,,,,,42385.00 Cr,5086.00 Cr,,,,,
2024-11-16,Kaccha Limboo,394/24-25,27RAXPS9827K1ZZ,9490,,,,8474.00 Cr,508.00 Cr,508.00 Cr,,,,,,,
2024-11-16,Riyansh Fashion Pin-A-Kin,393/24-25,27AANCR2517B1ZK,32753,5586.00 Cr,140.00 Cr,140.00 Cr,24006.50 Cr,1440.00 Cr,1440.00 Cr,,,0.50 Cr,,,,
2024-11-16,Maitrik the Baby's Paradise,392/24-25,27AAGFM6760K1ZU,24952,,,,22278.00 Cr,1337.00 Cr,1337.00 Cr,,,,,,,
2024-11-16,Chocolate Fashion,391/24-25,27AARFC2730J1Z9,20238,,,,18070.00 Cr,1084.00 Cr,1084.00 Cr,,,,,,,
2024-11-16,Maitrik Fashion Pvt Ltd,390/24-25,27AANCM1610N1Z8,32753,5586.00 Cr,140.00 Cr,140.00 Cr,24007.00 Cr,1440.00 Cr,1440.00 Cr,,,,,,,
2024-11-16,Trend Setter,389/24-25,27AAFPS2786N1ZW,17197,,,,15355.00 Cr,921.00 Cr,921.00 Cr,,,,,,,
2024-11-16,Suvidha,388/24-25,27ABCFS5847C1Z5,2907,,,,2595.00 Cr,156.00 Cr,156.00 Cr,,,,,,,
2024-11-18,Poshak-Rajkot,410/24-25,24AAGFP1352E1ZO,15938,,,,,,,14230.00 Cr,1708.00 Cr,,,,,
2024-11-18,Pummy Kids,409/24-25,24AAIFP6574C1Z8,8943,,,,,,,7985.00 Cr,958.00 Cr,,,,,
2024-11-18,Next Turn,408/24-25,24CEXPM5282B1Z8,23766,,,,,,,21220.00 Cr,2546.00 Cr,,,,,
2024-11-18,Dresswala Collection-Rajkot,407/24-25,24ADCPA4778J1ZL,12074,,,,,,,10780.00 Cr,1294.00 Cr,,,,,
2024-11-18,K.P.Junction,406/24-25,24AAKFK0304M1ZI,7958,,,,,,,7105.00 Cr,853.00 Cr,,,,,
2024-11-18,Patel Selection,405/24-25,24ARWPK9302J1ZC,8943,,,,,,,7985.00 Cr,958.00 Cr,,,,,
2024-11-18,Jay Jalaram Family Mall,404/24-25,24AARFJ9924F1ZZ,9330,,,,,,,8330.00 Cr,1000.00 Cr,,,,,
2024-11-18,Carron Clothing Pvt Ltd,403/24-25,27AABCC2448L1ZK,20412,11172.00 Cr,279.00 Cr,279.00 Cr,7752.00 Cr,465.00 Cr,465.00 Cr,,,,,,,
2024-11-18,Dresswala Nx,402/24-25,24AXFPA6567N1Z6,15086,,,,,,,13470.00 Cr,1616.00 Cr,,,,,
2024-11-18,Pummy Fashion,401/24-25,24AACFP5050H1ZJ,10287,,,,,,,9185.00 Cr,1102.00 Cr,,,,,
2024-11-18,New Clothes Club,400/24-25,24AAQFN0597D1Z5,20171,,,,,,,18010.00 Cr,2161.00 Cr,,,,,
2024-11-18,Harivar,399/24-25,24AADHT8500M1ZY,31875,,,,,,,28460.00 Cr,3415.00 Cr,,,,,
2024-11-18,Suvidha,398/24-25,27ABCFS5847C1Z5,4927,,,,4399.00 Cr,264.00 Cr,264.00 Cr,,,,,,,
2024-11-18,Spice,397/24-25,27AHPPJ7298H1ZL,15938,,,,14230.00 Cr,854.00 Cr,854.00 Cr,,,,,,,
2024-11-19,Shopper Plaza,419/24-25,03ABAFS1288D1ZK,14151,,,,,,,12635.00 Cr,1516.00 Cr,,,,,
2024-11-19,Carron Clothing Pvt Ltd,418/24-25,27AABCC2448L1ZK,17413,,,,15547.00 Cr,933.00 Cr,933.00 Cr,,,,,,,
2024-11-19,Khurana Fashions,417/24-25,07AANFK6196L1ZJ,26716,,,,,,,12425.00 Cr,1491.00 Cr,,,12190.00 Cr,610.00 Cr,
2024-11-19,Harivar,416/24-25,24AADHT8500M1ZY,1562,,,,,,,1305.00 Cr,157.00 Cr,,100.00 Cr,,,
2024-11-19,Nice & Next,415/24-25,24AGGPT1305B1Z0,34289,,,,,,,30615.00 Cr,3674.00 Cr,,,,,
2024-11-19,Honesty Stores,414/24-25,27ABIPS0106J1ZP,52371,8831.20 Cr,221.00 Cr,221.00 Cr,38479.75 Cr,2309.00 Cr,2309.00 Cr,,,0.05 Cr,,,,
2024-11-19,Angel,413/24-25,24AKFPT5168F1ZZ,15938,,,,,,,14230.00 Cr,1708.00 Cr,,,,,
2024-11-19,Suvidha,412/24-25,27ABCFS5847C1Z5,3124,,,,2790.00 Cr,167.00 Cr,167.00 Cr,,,,,,,
2024-11-19,Tiny Baby,411/24-25,27BABPS1183E1ZT,26228,,,,23417.50 Cr,1405.00 Cr,1405.00 Cr,,,0.50 Cr,,,,
2024-11-20,Carron Clothing Pvt Ltd,426/24-25,27AABCC2448L1ZK,35894,,,,32048.00 Cr,1923.00 Cr,1923.00 Cr,,,,,,,
2024-11-20,Tiny Baby,425/24-25,27BABPS1183E1ZT,11753,,,,10493.00 Cr,630.00 Cr,630.00 Cr,,,,,,,
2024-11-20,Janta Bazar-Vasai,424/24-25,27AAGFJ8219C1ZG,35601,,,,31787.00 Cr,1907.00 Cr,1907.00 Cr,,,,,,,
2024-11-20,Janta Bazar-Nallasopara,423/24-25,27AAGFJ8219C1ZG,23569,,,,21042.50 Cr,1263.00 Cr,1263.00 Cr,,,0.50 Cr,,,,
2024-11-20,Kaccha Limboo,422/24-25,27RAXPS9827K1ZZ,11848,,,,10578.00 Cr,635.00 Cr,635.00 Cr,,,,,,,
2024-11-20,Apple Kids,421/24-25,27AUIPS6693M1ZK,11848,,,,10578.00 Cr,635.00 Cr,635.00 Cr,,,,,,,
2024-11-20,Penguin Kids & Ladies,420/24-25,27ADJPT1360L1Z5,12819,,,,11445.00 Cr,687.00 Cr,687.00 Cr,,,,,,,
2024-11-21,Kidz Zone,433/24-25,27ACWPP0079J1ZW,4492,,,,4010.00 Cr,241.00 Cr,241.00 Cr,,,,,,,
2024-11-21,Culture,432/24-25,27AJCPC0931F1ZU,4615,4395.00 Cr,110.00 Cr,110.00 Cr,,,,,,,,,,
2024-11-21,Mysore Emporium,431/24-25,29AADFM5917D1ZB,25290,,,,,,,22580.00 Cr,2710.00 Cr,,,,,
2024-11-21,Shree Shagun-Mira Road,430/24-25,27AQXPR6869F1ZR,21292,,,,19010.00 Cr,1141.00 Cr,1141.00 Cr,,,,,,,
2024-11-21,Shahenshah Childrens Wear,429/24-25,27AESPD4014P1Z5,3852,,,,3440.00 Cr,206.00 Cr,206.00 Cr,,,,,,,
2024-11-21,Sagar,428/24-25,27AABPT1293K1ZD,11848,,,,10578.25 Cr,635.00 Cr,635.00 Cr,,,0.25 Dr,,,,
2024-11-21,Trios,427/24-25,27AACFT4028M1ZY,8177,,,,7301.00 Cr,438.00 Cr,438.00 Cr,,,,,,,
